TABLE NO.  1
 KA          V2          DV          PRED        RES         WRES
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0098E-01  4.4864E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9894E-01  4.4706E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9762E-01  4.4184E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1044E-01  4.6147E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9372E-01  4.4403E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9343E-01  4.4556E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9941E-01  4.4394E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3285E-01  5.1847E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9772E-01  4.5294E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9660E-01  4.5038E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3594E-01  5.2063E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8120E-01  4.2000E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2641E-01  5.0266E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8277E-01  4.2690E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5783E-01  3.8184E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6712E-01  4.0140E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7554E-01  4.1745E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5618E-01  3.8454E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5485E-01  3.7744E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0780E-01  4.5034E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0089E-01  4.3796E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7706E-01  4.1878E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9697E-01  4.4786E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9382E-01  4.8997E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9273E-01  4.9952E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3796E-01  5.3130E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2418E-01  5.1662E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8477E-01  4.2518E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4373E-01  5.9378E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5499E-01  3.8185E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
