TABLE NO.  1
 KA          V2          DV          PRED        RES         WRES
  1.8317E-01  4.0628E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6815E-01  4.0644E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0623E-01  5.9140E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6438E-01  3.9367E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1732E-01  4.9514E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9552E-01  4.2983E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4224E-01  5.3765E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9860E-01  4.6308E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0293E-01  4.7993E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9662E-01  4.6509E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8048E-01  4.1716E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7606E-01  4.1935E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0393E-01  5.8836E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3585E-01  4.1090E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9631E-01  3.2508E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5241E-01  3.5156E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6070E-01  4.0610E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5981E-01  3.8137E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6497E-01  3.3911E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1197E-01  6.3107E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9159E-01  4.5655E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3978E-01  3.2777E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1842E-01  3.8330E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8433E-01  4.4044E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1105E-01  4.2953E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4697E-01  3.7793E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1133E-01  4.8329E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4046E-01  3.5070E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9287E-01  3.5889E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5081E-01  3.6928E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2237E-01  4.5333E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0509E-01  3.6557E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9794E-01  4.1776E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3592E-01  4.3718E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0061E-01  5.0441E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6324E-01  4.4282E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9120E-01  3.5260E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4167E-01  3.3432E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0748E-01  3.0168E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4759E-01  3.1947E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9613E-01  3.4621E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1749E-01  3.2430E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2057E-01  3.8709E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3651E-01  3.7994E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6098E-01  4.2470E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1957E-01  3.3761E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5373E-01  5.2726E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9507E-01  4.2096E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.5592E-02  8.6623E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3997E-01  3.9725E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0448E-01  4.4707E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8999E-01  4.2004E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.4695E-02  6.5501E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0351E-01  6.9172E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0572E-01  3.2188E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.1413E-01  3.6348E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0229E-01  4.1085E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.0525E-02  4.1405E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.3146E-01  3.1894E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1947E-01  3.7073E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.1157E-02  7.5868E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0803E-01  4.0073E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.8011E-02  4.7181E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1447E-01  2.8516E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1010E-01  6.3143E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4251E-01  5.8877E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2180E-01  4.6486E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8121E-01  5.1057E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6784E-01  3.6615E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4406E-01  4.8420E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.2989E-01  3.1505E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4051E-01  2.6796E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.4444E-02  9.2298E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1682E-01  5.1434E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.2273E-01  3.4489E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.6624E-02  5.1236E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5184E-01  3.5453E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.7026E-01  2.2135E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7019E-01  6.6894E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2597E-01  5.6376E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3371E-01  4.7449E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0622E-01  2.0625E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4490E-01  6.9480E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5060E-01  2.0414E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9256E-01  2.4113E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2350E-01  6.1047E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0171E-01  2.0531E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7445E-01  3.8936E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8200E-01  3.3686E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8501E-01  4.0010E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1641E-01  5.1361E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.9708E-01  2.1852E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.1625E-02  5.4324E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.5521E-01  2.2146E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.2417E-01  3.8394E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3543E-01  5.7318E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.1224E-01  3.6860E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1236E-01  5.8919E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3466E-01  4.1833E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5852E-01  5.1490E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4838E-01  6.7188E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2127E-01  2.2290E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
